# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
1                      	9.999999995171420e-01	1.000000000000000e+00	1.000000000000000e+00	9.999999999956718e-01	1.683064907011024e-01
2                      	8.024483589655571e-01	8.599059905412971e-01	9.394815417384700e-01	9.406658338962344e-01	2.731071494106408e-01
3                      	1.633376770364592e-01	1.383511471993976e-01	9.411239469985386e-01	1.338699980516712e-01	3.284024477786495e-01
4                      	4.626765832114667e-01	5.854275738020743e-01	8.044667097304331e-01	3.802266639353520e-01	1.943784809441019e-01
5                      	3.769103814983635e-01	3.915305223257736e-01	9.138342068830866e-01	3.531303409857751e-01	1.150924822319843e-01
6                      	4.100475627614092e-01	4.798092808733307e-01	6.856443021114214e-01	2.354680938545710e-01	1.439606931358713e-01
7                      	4.278902693818154e-01	5.223131078026618e-01	8.735543478445170e-01	3.916547662151076e-01	1.464991443457965e-01
8                      	2.953206303249085e-01	2.967790397039734e-01	8.521761229285210e-01	3.152843994400728e-01	1.315038772382689e-01
9                      	4.210833564956077e-01	4.713958155788905e-01	7.480787413161134e-01	2.473769820016188e-01	1.529444357200691e-01
10                     	3.609068057661781e-01	3.726430879713138e-01	8.542923261233720e-01	2.568209672239966e-01	1.140103383353730e-01
11                     	3.493665318202621e-01	3.783011501454809e-01	7.542446339644548e-01	2.222306109977579e-01	1.093957362645299e-01
12                     	3.839786769269325e-01	4.910675900586366e-01	7.819711158597941e-01	2.789398995474616e-01	1.265790354462177e-01
13                     	2.525472770577001e-01	3.153438005682013e-01	8.070309858539618e-01	2.523491408141275e-01	1.328963542165337e-01
14                     	2.959426553093162e-01	3.641332118154200e-01	7.331218554507775e-01	1.755762810715458e-01	1.790255262852888e-01
15                     	2.491391799947965e-01	3.149580675612156e-01	7.909651659525191e-01	1.525962152177505e-01	8.772290886751226e-02
16                     	2.209613067446092e-01	3.015674942240835e-01	7.825195353087713e-01	1.284111832305145e-01	4.780347647708415e-02
17                     	2.120531402285167e-01	2.769319862840708e-01	7.526380838078288e-01	1.047189998667272e-01	3.959161376554457e-02
18                     	1.467409241980985e-01	2.154253761745192e-01	7.288215424104816e-01	9.007111959517955e-02	3.049301703972266e-02
19                     	1.337736968268272e-01	2.259175426396017e-01	7.235562618562184e-01	7.214167627815499e-02	2.105337882211969e-02
20                     	1.121147786701985e-01	1.958815997096335e-01	7.266603406243157e-01	6.083853453046371e-02	1.638821429906598e-02
21                     	7.989143897065140e-02	1.265543105976743e-01	7.180508914394443e-01	5.391696913309371e-02	1.289382739825876e-02
22                     	7.324286796801360e-02	1.219434179720110e-01	6.979374985508057e-01	4.846753252438048e-02	1.003856129440978e-02
23                     	6.362453456166189e-02	1.111454171280613e-01	6.800425616877507e-01	4.256991191585081e-02	8.567075993948249e-03
24                     	4.990657962004519e-02	7.989539733828036e-02	6.526543239368275e-01	3.838187752096511e-02	7.343143920268770e-03
25                     	4.647451801714273e-02	7.356874858758734e-02	6.435380081033112e-01	3.622511097366957e-02	6.378264784242623e-03
26                     	4.184972740498741e-02	6.573659989634545e-02	6.230836588694056e-01	3.362208092616911e-02	5.605373655237645e-03
27                     	3.639982788116631e-02	5.200896602981096e-02	6.025322733347597e-01	3.180004904597917e-02	4.957954155640454e-03
28                     	3.599431291526223e-02	4.793687208252204e-02	5.471248114588844e-01	3.060519698995993e-02	4.535955380951953e-03
29                     	3.465060041944691e-02	4.598472192579940e-02	5.076505524831439e-01	2.908320427556706e-02	5.654773845774359e-03
30                     	3.254165484054018e-02	4.123120614568798e-02	4.807926855364389e-01	2.834896781117338e-02	1.742673558229310e-02
31                     	3.110067842874891e-02	3.786726639307866e-02	4.379008069162276e-01	2.885222860008742e-02	6.140704415416745e-03
32                     	3.015955737811970e-02	3.653540540360584e-02	3.958350325195764e-01	2.823298005830501e-02	4.466392206965947e-03
33                     	2.920710217118089e-02	3.490023539869314e-02	3.578499463739058e-01	2.811742648571969e-02	3.834846301717038e-03
34                     	2.818699443148782e-02	3.434126784301626e-02	3.371831193886563e-01	2.884989520400023e-02	3.443774840168593e-03
35                     	2.717674021513769e-02	3.432767244109077e-02	3.010726467773518e-01	2.809357034574302e-02	3.258924729954423e-03
36                     	2.632264875613213e-02	3.388524493983616e-02	2.667864789203032e-01	2.795701332923113e-02	3.147823617735494e-03
37                     	2.570142225619966e-02	3.311107747112619e-02	2.344303705546058e-01	2.769424383003374e-02	3.028678197618272e-03
38                     	2.516824880700652e-02	3.233587922649629e-02	2.206618695046280e-01	2.735519198109364e-02	2.872264739741332e-03
39                     	2.473581176313580e-02	3.194813505721907e-02	2.167468073792931e-01	2.827672169814913e-02	2.763943235513646e-03
40                     	2.427505811709095e-02	3.188260417308918e-02	2.045531311058409e-01	2.706508402710702e-02	2.719005700132550e-03
41                     	2.384156032224807e-02	3.181244990187346e-02	1.945600632319948e-01	2.698603128759944e-02	2.526944115131218e-03
42                     	2.343291244718209e-02	3.183660386900025e-02	1.840672443562117e-01	2.713400825945424e-02	2.400627035987220e-03
43                     	2.294758638572618e-02	3.179479830542555e-02	1.763886982944911e-01	2.734254200105549e-02	2.290806107019489e-03
44                     	2.240891958975336e-02	3.164198848384432e-02	1.703922024851512e-01	2.879063588619257e-02	2.215375984609218e-03
