# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
5001                   	1.581882495512203e-06	1.349255480031577e-06	4.033820394997718e-06	4.611632786215098e-06	4.807020194430463e-08
5002                   	1.579958822640465e-06	1.344808503066684e-06	3.834042735844342e-06	4.605490884134884e-06	4.802088662948401e-08
5003                   	1.578014602871184e-06	1.340579934377526e-06	3.779350583264582e-06	4.599744465333813e-06	4.797087420064403e-08
5004                   	1.576071834612777e-06	1.336344522679466e-06	3.788465630101657e-06	4.594018190308040e-06	4.792084156574112e-08
5005                   	1.574133125672219e-06	1.332067523036807e-06	3.816966278698485e-06	4.588300385444106e-06	4.787087213568214e-08
5006                   	1.572196760659942e-06	1.327779965838668e-06	3.828886388721216e-06	4.582590329714010e-06	4.782100532804513e-08
5007                   	1.570262225071857e-06	1.323503193957889e-06	3.824081262565747e-06	4.576889277445476e-06	4.777121732845785e-08
5008                   	1.568329828072250e-06	1.319243047774837e-06	3.815556496233514e-06	4.571197267296559e-06	4.772148441327767e-08
5009                   	1.566399685719065e-06	1.314998362209866e-06	3.808154418649693e-06	4.565513149482156e-06	4.767181168717279e-08
5010                   	1.564471581941363e-06	1.310767994889052e-06	3.802690173996461e-06	4.559837033094202e-06	4.762219165396902e-08
5011                   	1.562545179672866e-06	1.306546695344435e-06	3.797147839936509e-06	4.554169029171796e-06	4.757261211668856e-08
5012                   	1.560621410994638e-06	1.302332553126764e-06	3.791759123788356e-06	4.548510951253390e-06	4.752306470098307e-08
5013                   	1.558699696821768e-06	1.298126668027354e-06	3.786586932782340e-06	4.542861838165333e-06	4.747355285574655e-08
5014                   	1.556780208391836e-06	1.293933334641547e-06	3.780992128514753e-06	4.537220728963316e-06	4.742408109765441e-08
5015                   	1.554862485595243e-06	1.289757483351840e-06	3.775471720284914e-06	4.531587142193442e-06	4.737464932687221e-08
5016                   	1.552946377175564e-06	1.285599701641139e-06	3.770169759450992e-06	4.525962008615165e-06	4.732526210734237e-08
5017                   	1.551032160965099e-06	1.281451989971142e-06	3.764921356262856e-06	4.520344772395745e-06	4.727591661004158e-08
5018                   	1.549119752493421e-06	1.277312702727262e-06	3.759640342825908e-06	4.514735321461027e-06	4.722660585595392e-08
5019                   	1.547209525431166e-06	1.273183706351747e-06	3.754310900970615e-06	4.509133296236191e-06	4.717733232380215e-08
5020                   	1.545301602407558e-06	1.269066279022756e-06	3.748964351956262e-06	4.503539810923035e-06	4.712809649374703e-08
5021                   	1.543395826180374e-06	1.264955912770621e-06	3.743604224189983e-06	4.497954745465138e-06	4.707890810599809e-08
5022                   	1.541492500072230e-06	1.260854418243414e-06	3.738243102351028e-06	4.492377132843235e-06	4.702976128765297e-08
5023                   	1.539591617774320e-06	1.256760060374359e-06	3.732879909755601e-06	4.486807420061748e-06	4.698065782102510e-08
5024                   	1.537692892003847e-06	1.252675924696250e-06	3.727477452170110e-06	4.481245632482765e-06	4.693158954733341e-08
5025                   	1.535796211614691e-06	1.248603320212644e-06	3.721918460705344e-06	4.475691510109189e-06	4.688255256545689e-08
5026                   	1.533902037982249e-06	1.244536479682180e-06	3.716438399831139e-06	4.470145568754673e-06	4.683356317934766e-08
5027                   	1.532009721714378e-06	1.240475703534495e-06	3.710953601731102e-06	4.464607762200932e-06	4.678461868066087e-08
5028                   	1.530119825717219e-06	1.236423172643239e-06	3.705447485117425e-06	4.459080253055202e-06	4.673571987227200e-08
5029                   	1.528231539897279e-06	1.232379324589107e-06	3.699905253812728e-06	4.453561306101702e-06	4.668686285976424e-08
5030                   	1.526345235358418e-06	1.228342766053412e-06	3.694341736422826e-06	4.448050400319081e-06	4.663805132354239e-08
5031                   	1.524461527260584e-06	1.224313527611851e-06	3.688736943380105e-06	4.442547802097174e-06	4.658929430012268e-08
5032                   	1.522579883775090e-06	1.220293900570930e-06	3.683094950652871e-06	4.437053496679682e-06	4.654058293960575e-08
5033                   	1.520700149837578e-06	1.216282934778671e-06	3.676251540775417e-06	4.431567127510931e-06	4.649197295580005e-08
5034                   	1.518823097675523e-06	1.212279365387875e-06	3.670498370377524e-06	4.426089391568923e-06	4.644341225364708e-08
5035                   	1.516947835580995e-06	1.208284229219860e-06	3.665790712627207e-06	4.420620214165959e-06	4.639487663169896e-08
5036                   	1.515075304417567e-06	1.204299035690481e-06	3.661607937861411e-06	4.415159600934805e-06	4.634636980300401e-08
5037                   	1.513204815633284e-06	1.200322130241760e-06	3.656271805177512e-06	4.409708666227703e-06	4.629790096422203e-08
5038                   	1.511336039111613e-06	1.196357361483038e-06	3.650501130703490e-06	4.404265557727038e-06	4.624950218917190e-08
5039                   	1.509469082264288e-06	1.192401295628256e-06	3.644403457427498e-06	4.398829807665208e-06	4.620114337948733e-08
5040                   	1.507604198822758e-06	1.188457638644523e-06	3.638242225052117e-06	4.393402345099693e-06	4.615281667800460e-08
5041                   	1.505741472536038e-06	1.184523155661850e-06	3.632078154572699e-06	4.387982573034307e-06	4.610454806142070e-08
