# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
1                      	9.999999997080066e-01	1.000000000000000e+00	1.000000000000000e+00	9.999999999966606e-01	1.683172185667007e-01
2                      	8.037585945893938e-01	8.599837670759347e-01	9.368087156496783e-01	9.421763501540372e-01	2.751043568839360e-01
3                      	1.656731957042125e-01	1.375280814047595e-01	9.393054553151875e-01	1.336716379315917e-01	3.247164681865022e-01
4                      	4.681258337605006e-01	5.943137520266655e-01	8.018161266160087e-01	3.719419553621507e-01	1.917653980941908e-01
5                      	3.763774659759633e-01	3.866135896839778e-01	9.091138629207184e-01	3.316019651910078e-01	1.114836346834849e-01
6                      	4.247700018561100e-01	4.833029361199520e-01	6.782040195413752e-01	2.303392806570290e-01	1.418188962474073e-01
7                      	4.410375613728942e-01	5.332924503922183e-01	8.764876530865464e-01	4.090054452526152e-01	1.476229414460984e-01
8                      	3.058009600233380e-01	2.874850202883046e-01	8.481754150310828e-01	3.210085888523412e-01	1.477847874905160e-01
9                      	4.245539278538636e-01	4.583879804449800e-01	7.159724182760260e-01	2.482757863707435e-01	1.530899684337499e-01
10                     	3.861468053067978e-01	4.001892008183857e-01	8.589805490257908e-01	3.258960592918768e-01	1.384742314664812e-01
11                     	3.462406423455398e-01	3.439559595362985e-01	7.706842049900242e-01	2.443427308473044e-01	1.240948663728603e-01
12                     	3.814099082517883e-01	4.657325720962994e-01	7.522467282645516e-01	2.686734409990593e-01	1.258657123604289e-01
13                     	2.875215550217703e-01	3.575692518041571e-01	7.987803674029528e-01	2.241370039307559e-01	1.170402607877839e-01
14                     	2.650295195494942e-01	2.994518764203555e-01	7.219450490861398e-01	1.584076891580222e-01	9.204633176347371e-02
15                     	2.532390572966274e-01	3.402228106377955e-01	7.460682412765313e-01	1.603370854576526e-01	6.798754148818345e-02
16                     	2.150649449950597e-01	2.725306125069341e-01	7.528197835649925e-01	1.171903914538424e-01	4.202685117021566e-02
17                     	2.058391122638578e-01	2.436413052104911e-01	7.106851649930741e-01	9.388393465878959e-02	3.348004840719915e-02
18                     	1.342974135437827e-01	2.090467089465689e-01	7.150055048914434e-01	8.334820308241929e-02	2.482006043499920e-02
19                     	1.130860346669763e-01	1.858759371244947e-01	6.933346730803659e-01	7.391346600322451e-02	1.938851184504893e-02
20                     	9.955564109324573e-02	1.553467311883535e-01	6.858952425606749e-01	6.801767365364469e-02	1.512039133138386e-02
21                     	7.481085548743466e-02	1.117175619666307e-01	7.342978165853224e-01	5.989729575154502e-02	1.189396854839872e-02
22                     	6.949190003996908e-02	1.017899164253881e-01	6.598391029704936e-01	5.663989775924080e-02	9.993461801872751e-03
23                     	6.066170444103670e-02	9.500886093448468e-02	6.268835395820924e-01	5.440329765458225e-02	9.029671840172282e-03
24                     	4.894094287027152e-02	7.178317985345041e-02	6.659544202959918e-01	5.261572305528224e-02	7.992345875276712e-03
25                     	4.506516720906003e-02	6.304534502829502e-02	6.382462077075705e-01	4.797682575424832e-02	7.370866426917808e-03
26                     	4.242585365294570e-02	5.995716040113176e-02	5.699071695918685e-01	4.680901112502331e-02	6.578239668502559e-03
27                     	3.905235414388278e-02	5.091473797412640e-02	5.490347590932826e-01	4.765525617062208e-02	6.015193417465018e-03
28                     	3.756870655949977e-02	4.640116344994805e-02	5.081317542040538e-01	4.520016053059398e-02	5.768745806993002e-03
29                     	3.596718662633930e-02	4.652874639615998e-02	4.542258681604442e-01	4.508112713911198e-02	5.239447505093939e-03
30                     	3.377169094162067e-02	4.499664693570100e-02	4.095294400666923e-01	4.254199450008250e-02	5.223527002766706e-03
31                     	3.180717753085526e-02	4.175143805188791e-02	3.853231590592669e-01	4.144727724468811e-02	4.867754654369127e-03
32                     	3.039507019430742e-02	3.995013696927090e-02	3.437917265372438e-01	3.911003217010346e-02	4.820594833792868e-03
33                     	2.944325168388395e-02	3.988322812065342e-02	3.143437071478363e-01	3.756047717896656e-02	4.535411620492698e-03
34                     	2.864804905199402e-02	3.970052401415824e-02	2.976982540906298e-01	3.753323559733499e-02	4.266406060442905e-03
35                     	2.782393986719489e-02	3.913044942879281e-02	2.852180708486026e-01	3.688881635092137e-02	4.114884930773829e-03
36                     	2.699472396309233e-02	3.798468094380282e-02	2.668521683249322e-01	3.629007701613337e-02	3.960319021802328e-03
37                     	2.626985022194515e-02	3.671407404904525e-02	2.450716917357653e-01	3.691881235217533e-02	3.708931898413763e-03
38                     	2.569376863982270e-02	3.554883434779407e-02	2.251249546093434e-01	3.571823904836258e-02	3.627911592531932e-03
39                     	2.520152448303790e-02	3.472563988119050e-02	2.094352347952017e-01	3.463067740990814e-02	3.409916795718725e-03
40                     	2.465136095330191e-02	3.432827126404563e-02	2.050193960329566e-01	3.483293357472791e-02	3.250144461806194e-03
41                     	2.404960995436219e-02	3.399989990043734e-02	2.042623494787303e-01	3.275611344059193e-02	3.135967948206469e-03
42                     	2.347524491026940e-02	3.349744636105603e-02	2.055080750250845e-01	3.243262920757914e-02	2.987445489097532e-03
43                     	2.295939700428030e-02	3.282652423234886e-02	1.996715963470579e-01	3.186592268193477e-02	2.871449089516131e-03
44                     	2.248680144522113e-02	3.210321388643919e-02	1.932037642282273e-01	3.286104439461521e-02	2.776330774864099e-03
45                     	2.201104595730282e-02	3.154535599970296e-02	1.880666586276719e-01	3.155478080973561e-02	2.716997761992723e-03
46                     	2.159222401432166e-02	3.095795532585691e-02	1.846467600325558e-01	3.030897515015803e-02	2.590400792595327e-03
47                     	2.113806789081898e-02	3.043651111255640e-02	1.766963894850469e-01	2.991808468746234e-02	2.481703174383274e-03
48                     	2.066802130648272e-02	2.985911314264979e-02	1.705070529067626e-01	2.948201462129351e-02	2.432941083510934e-03
49                     	2.029393321600143e-02	2.927197752917012e-02	1.668115515154937e-01	2.841833449989658e-02	2.362496089344935e-03
50                     	1.997263481015845e-02	2.876902936246789e-02	1.615845937547989e-01	2.828812798604699e-02	2.295002882668035e-03
51                     	1.971834400805917e-02	2.827370521565157e-02	1.583155512827172e-01	2.723900865748836e-02	2.234358116829549e-03
52                     	1.948005979288448e-02	2.778683288808298e-02	1.586902676740854e-01	2.698499872352197e-02	2.177334157544591e-03
53                     	1.922775258005667e-02	2.729961997315623e-02	1.600892585694838e-01	2.574665831568224e-02	2.106724076415780e-03
54                     	1.893652961863852e-02	2.685205470475689e-02	1.582864430136243e-01	2.544782844113155e-02	2.018822489788791e-03
55                     	1.862861110495032e-02	2.644469327938637e-02	1.541302415890497e-01	2.449282101374364e-02	1.931601335097645e-03
56                     	1.831136556972030e-02	2.598507427015954e-02	1.496456145024034e-01	2.429498772030565e-02	1.914116134294108e-03
57                     	1.802595994921052e-02	2.548652365526771e-02	1.438615566102274e-01	2.372869645215358e-02	1.877034678197943e-03
58                     	1.776930547003125e-02	2.496607071888555e-02	1.398718925097092e-01	2.283680143830772e-02	1.785339417835708e-03
59                     	1.752827238140483e-02	2.445429254936355e-02	1.353343464229423e-01	2.234927146713732e-02	1.752748728304301e-03
60                     	1.729225819478888e-02	2.398692212253092e-02	1.314117251407384e-01	2.190408635067116e-02	1.686737147384880e-03
61                     	1.704926854813925e-02	2.358326239686120e-02	1.288591282782571e-01	2.183233390390186e-02	1.658340571903351e-03
62                     	1.681776320050849e-02	2.319461999220595e-02	1.277639817701105e-01	2.086878386023509e-02	1.590308088133618e-03
63                     	1.659889663925803e-02	2.287884567516330e-02	1.257657911131016e-01	2.039453046233747e-02	1.477794095103377e-03
64                     	1.638793670765167e-02	2.257053118562575e-02	1.243944415990847e-01	2.000926837440233e-02	1.430683465161703e-03
65                     	1.618287210224800e-02	2.228286549474087e-02	1.214617720923801e-01	1.965705385153696e-02	1.390267245933904e-03
