# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
1                      	9.999999995171420e-01	1.000000000000000e+00	1.000000000000000e+00	9.999999999956718e-01	1.683064907011024e-01
2                      	8.024483589655571e-01	8.599059905412971e-01	9.394815417384700e-01	9.406658338962344e-01	2.731071494106408e-01
3                      	1.633376770364592e-01	1.383511471993976e-01	9.411239469985386e-01	1.338699980516692e-01	3.284024477786495e-01
4                      	4.626765832114663e-01	5.854275738020726e-01	8.044667097304264e-01	3.802266639353517e-01	1.943784809441035e-01
5                      	3.769103814983594e-01	3.915305223257648e-01	9.138342068830901e-01	3.531303409857696e-01	1.150924822319830e-01
6                      	4.100475627614160e-01	4.798092808733529e-01	6.856443021112723e-01	2.354680938545703e-01	1.439606931358720e-01
7                      	4.278902693817785e-01	5.223131078026314e-01	8.735543478445336e-01	3.916547662151250e-01	1.464991443458070e-01
8                      	2.953206303249218e-01	2.967790397039984e-01	8.521761229284542e-01	3.159084922649689e-01	1.315222189600461e-01
9                      	4.210484383764550e-01	4.713862469164687e-01	7.480423763795272e-01	2.493824849265502e-01	1.527607372973291e-01
10                     	3.607610450525845e-01	3.725740299557690e-01	8.540856309937903e-01	2.631874826081577e-01	1.136075887122591e-01
11                     	3.489855517970377e-01	3.779099592043351e-01	7.546368699797661e-01	2.054033482937698e-01	1.056024051143083e-01
12                     	3.837329454899355e-01	4.911621216624666e-01	7.828128967746418e-01	2.635446477523073e-01	1.180656749198208e-01
13                     	2.523013012255418e-01	3.150793306931905e-01	8.078448243407322e-01	2.354508245890316e-01	1.226883793219600e-01
14                     	2.955254058045154e-01	3.642557056329427e-01	7.340619401659527e-01	1.707384246624491e-01	1.535397162219461e-01
15                     	2.497151064736114e-01	3.179693285388623e-01	7.888848121260040e-01	1.564296443575909e-01	7.844443037921027e-02
16                     	2.192871519407071e-01	2.979995331215169e-01	7.873427050522641e-01	1.174149832072657e-01	4.323095128460376e-02
17                     	2.111615059956431e-01	2.744749429440959e-01	7.506066070748887e-01	1.018579568977162e-01	3.547635488699290e-02
18                     	1.478820028537737e-01	2.184186967528019e-01	7.297424679291339e-01	9.568529666886469e-02	2.801812604271602e-02
19                     	1.335996513758325e-01	2.258779422253516e-01	7.262201126882553e-01	7.214097272509080e-02	2.041285764275450e-02
20                     	1.116475228140370e-01	1.952335966136337e-01	7.232883161770743e-01	6.292238661613045e-02	1.564591075768514e-02
21                     	8.014097851803703e-02	1.267890471608903e-01	7.164007352246380e-01	5.612282011100175e-02	1.201607780085371e-02
22                     	7.339953269946330e-02	1.225595568965989e-01	6.955085237844826e-01	4.960951637584919e-02	9.737513119282538e-03
23                     	6.373317192161941e-02	1.112131343474030e-01	6.843006006361279e-01	4.504841521298573e-02	8.486679429054907e-03
24                     	4.990604429564056e-02	7.979517803631458e-02	6.528575771308994e-01	4.199299359789570e-02	7.522263734747321e-03
25                     	4.646857465950313e-02	7.349363568393172e-02	6.429445859172914e-01	3.720000384661702e-02	6.490641561956180e-03
26                     	4.182223497250714e-02	6.586958440531043e-02	6.255654851346293e-01	3.373916503746073e-02	5.574471008504710e-03
27                     	3.631869457844748e-02	5.209000924903122e-02	6.018645091865229e-01	3.093980203817127e-02	4.832599936451688e-03
28                     	3.590378321000011e-02	4.807605907814329e-02	5.441670791146318e-01	2.979816014630548e-02	4.354402169929060e-03
29                     	3.463123187146082e-02	4.601589092109578e-02	5.090618839857667e-01	2.887187863754792e-02	4.214441803668315e-03
30                     	3.247566607888935e-02	4.134762725788305e-02	4.852160333898466e-01	2.852079934632839e-02	3.927746983980256e-03
31                     	3.104037089925808e-02	3.818572500412890e-02	4.392192497990397e-01	2.845854287263281e-02	3.704059914372693e-03
32                     	3.011685871419278e-02	3.674108563777987e-02	3.970781177943011e-01	2.844615781888200e-02	3.581723499666362e-03
33                     	2.925437445621215e-02	3.502914050587790e-02	3.597897462810198e-01	2.825166845571112e-02	3.433811718449070e-03
34                     	2.829969471071521e-02	3.439972715709747e-02	3.370646725527724e-01	2.812900217745474e-02	3.291525053520249e-03
35                     	2.730189624088990e-02	3.439948285248846e-02	3.024940249417972e-01	2.801544532395217e-02	3.177018999909031e-03
36                     	2.637257913131309e-02	3.395055679672145e-02	2.695923272198099e-01	2.782835688348027e-02	3.072487327662880e-03
37                     	2.569836656372584e-02	3.318295380627913e-02	2.383698565462306e-01	2.753924993330233e-02	2.970604211831260e-03
38                     	2.512273773915711e-02	3.238394835680136e-02	2.236540624124663e-01	2.723815525230652e-02	2.852787541644450e-03
39                     	2.468805926448303e-02	3.194479958760039e-02	2.179631009589908e-01	2.686770409255374e-02	2.740693553451520e-03
40                     	2.422165958854238e-02	3.181031321770707e-02	2.050517299604552e-01	2.677953330998521e-02	2.589368717887859e-03
41                     	2.379368187384662e-02	3.173031117404065e-02	1.940886725060638e-01	2.667844753976343e-02	2.476490734023977e-03
42                     	2.337152484657556e-02	3.177255814877992e-02	1.844695249793896e-01	2.682619493247308e-02	2.355213989593456e-03
43                     	2.290326417552886e-02	3.176200282957200e-02	1.762633853215209e-01	2.709133417084284e-02	2.253914223411942e-03
44                     	2.239149284617550e-02	3.161335686790853e-02	1.704190984998473e-01	2.720159512946918e-02	2.156354338509955e-03
